Date,Max,Min,Average,Precipitation
7/30/1948,87,77,82,0.22
7/31/1948,86,78,82,0.03
8/1/1948,87,78,82.5,T
8/2/1948,87,79,83,0.14
8/3/1948,88,80,84,0.01
8/4/1948,90,75,82.5,0.53
8/5/1948,85,79,82,0.04
8/6/1948,83,75,79,0.41
8/7/1948,83,75,79,0.08
8/8/1948,83,76,79.5,0.16
8/9/1948,85,77,81,0.05
8/10/1948,85,76,80.5,0.65
8/11/1948,85,73,79,1.18
8/12/1948,80,76,78,0.35
8/13/1948,87,74,80.5,0.11
8/14/1948,86,74,80,0.81
8/15/1948,87,77,82,0.08
8/16/1948,86,78,82,T
8/17/1948,83,75,79,0.12
8/18/1948,84,75,79.5,1.77
8/19/1948,84,74,79,0.66
8/20/1948,88,76,82,0.21
8/21/1948,87,76,81.5,0.09
8/22/1948,86,78,82,T
8/23/1948,87,78,82.5,0.19
8/24/1948,88,78,83,T
8/25/1948,81,76,78.5,0.33
8/26/1948,85,75,80,1.58
8/27/1948,85,75,80,0.43
8/28/1948,87,75,81,T
8/29/1948,84,77,80.5,1.05
8/30/1948,86,76,81,1.58
8/31/1948,85,77,81,T
9/1/1948,87,78,82.5,0.05
9/2/1948,87,78,82.5,0.14
9/3/1948,85,78,81.5,T
9/4/1948,87,74,80.5,1.57
9/5/1948,87,77,82,T
9/6/1948,84,75,79.5,0.62
9/7/1948,85,77,81,0.18
9/8/1948,85,72,78.5,0.87
9/9/1948,86,74,80,0.92
9/10/1948,84,76,80,0
9/11/1948,85,78,81.5,0.07
9/12/1948,84,79,81.5,0.02
9/13/1948,83,75,79,0.87
9/14/1948,82,72,77,0.64
9/15/1948,85,76,80.5,0.06
9/16/1948,83,73,78,0.14
9/17/1948,84,75,79.5,0.44
9/18/1948,86,77,81.5,0.02
9/19/1948,86,77,81.5,0
9/20/1948,87,76,81.5,T
9/21/1948,79,74,76.5,1.58
9/22/1948,86,78,82,0.01
9/23/1948,86,78,82,0
9/24/1948,87,77,82,0.33
9/25/1948,85,78,81.5,0
9/26/1948,84,75,79.5,0.29
9/27/1948,85,75,80,0.08
9/28/1948,83,78,80.5,0.17
9/29/1948,85,76,80.5,0.05
9/30/1948,85,77,81,0.03
10/1/1948,84,76,80,0.2
10/2/1948,87,76,81.5,T
10/3/1948,84,78,81,0
10/4/1948,87,76,81.5,0.36
10/5/1948,86,75,80.5,0.32
10/6/1948,84,76,80,1.39
10/7/1948,85,75,80,0.19
10/8/1948,88,76,82,1.02
10/9/1948,86,77,81.5,0.06
10/10/1948,85,76,80.5,0.04
10/11/1948,86,77,81.5,0.74
10/12/1948,86,76,81,0.02
10/13/1948,84,74,79,0.17
10/14/1948,85,75,80,0.69
10/15/1948,86,76,81,0.52
10/16/1948,86,77,81.5,0.46
10/17/1948,85,78,81.5,0.72
10/18/1948,86,78,82,0.31
10/19/1948,86,76,81,0.33
10/20/1948,87,76,81.5,0
10/21/1948,86,77,81.5,0.36
10/22/1948,89,76,82.5,0.07
10/23/1948,86,77,81.5,0.49
10/24/1948,87,76,81.5,0.22
10/25/1948,88,75,81.5,0.22
10/26/1948,85,77,81,0.04
10/27/1948,84,75,79.5,0.92
10/28/1948,82,72,77,3.2
10/29/1948,85,73,79,0.23
10/30/1948,87,76,81.5,0
10/31/1948,83,76,79.5,0.03
